inat2024_fsd50k
Abavorana luctuosa
Akletos melanoceps
Alaemon alaudipes
Alaemon hamertoni
Alarm
Alauda arvensis
Alauda gulgula
Alauda leucoptera
Alauda razae
Alaudala cheleensis
Alaudala heinei
Alaudala raytal
Alaudala rufescens
Alaudala somalica
Albarracinia zapaterii
Alburnus alburnus
Alca torda
Alcedo atthis
Alcedo coerulescens
Alcedo euryzona
Alcedo hercules
Alcedo meninting
Alcedo quadribrachys
Alcedo semitorquata
Alces alces
Alcippe brunneicauda
Alcippe davidi
Alcippe fratercula
Alcippe grotei
Alcippe hueti
Alcippe morrisonia
Alcippe nipalensis
Alcippe peracensis
Alcippe poioicephala
Alcippe pyrrhoptera
Alcurus striatus
Aldabrachelys gigantea
Aleadryas rufinucha
Alectoris barbara
Alectoris chukar
Alectoris graeca
Alectoris magna
Alectoris melanocephala
Alectoris philbyi
Alectoris rufa
Alectroenas madagascariensis
Alectroenas pulcherrimus
Alectroenas sganzini
Alectrurus risora
Alectrurus tricolor
Alectura lathami
Aleeta curvicosta
Alethe castanea
Alethe diademata
Alexandromys oeconomus
Alinjarria elongata
Alipiopsitta xanthops
Alisterus amboinensis
Alisterus chloropterus
Alisterus scapularis
Alle alle
Allenia fusca
Allenopithecus nigroviridis
Alligator mississippiensis
Alligator sinensis
Allobates femoralis
Allobates granti
Allobates ignotus
Allobates marchesianus
Allobates niputidea
Allobates ripicolus
Allobates talamancae
Allobates zaparo
Allochrocebus lhoesti
Allonemobius allardi
Allonemobius fasciatus
Allonemobius griseus
Allonemobius maculatus
Allonemobius shalontaki
Allonemobius socius
Allonemobius tinnulus
Allonemobius walkeri
Allophryne resplendens
Allophryne ruthveni
Alloteratura lamella
Aloha campylothecae
Aloha swezeyi
Alophoixus flaveolus
Alophoixus frater
Alophoixus ochraceus
Alophoixus pallidus
Alophoixus phaeocephalus
Alophoixus ruficrissus
Alopochelidon fucata
Alopochen aegyptiaca
Alouatta belzebul
Alouatta caraya
Alouatta guariba
Alouatta macconnelli
Alouatta palliata
Alouatta pigra
Alouatta sara
Alouatta seniculus
Alytes almogavarii
Alytes cisternasii
Alytes dickhilleni
Alytes muletensis
Alytes obstetricans
Amadina erythrocephala
Amadina fasciata
Amalocichla incerta
Amalocichla sclateriana
Amandava amandava
Amandava subflava
Amaurolimnas concolor
Amaurornis isabellina
Amaurornis magnirostris
Amaurornis moluccana
Amaurornis olivacea
Amaurornis phoenicurus
Amaurospiza aequatorialis
Amaurospiza carrizalensis
Amaurospiza concolor
Amaurospiza moesta
Amazilia luciae
Amazilia rutila
Amazilia tzacatl
Amazilia yucatanensis
Amazilis amazilia
Amazona aestiva
Amazona agilis
Amazona albifrons
Amazona amazonica
Amazona arausiaca
Amazona auropalliata
Amazona autumnalis
Amazona barbadensis
Amazona brasiliensis
Amazona collaria
Amazona dufresniana
Amazona farinosa
Amazona festiva
Amazona finschi
Amazona guildingii
Amazona imperialis
Amazona kawalli
Amazona leucocephala
Amazona mercenarius
Amazona ochrocephala
Amazona oratrix
Amazona pretrei
Amazona rhodocorytha
Amazona tucumana
Amazona ventralis
Amazona versicolor
Amazona vinacea
Amazona viridigenalis
Amazona vittata
Amazona xantholora
Amazonetta brasiliensis
Amazophrynella minuta
Ambloplites rupestris
Amblycercus holosericeus
Amblycorypha alexanderi
Amblycorypha arenicola
Amblycorypha floridana
Amblycorypha huasteca
Amblycorypha oblongifolia
Amblycorypha parvipennis
Amblycorypha rivograndis
Amblycorypha rotundifolia
Amblyornis inornata
Amblyornis macgregoriae
Amblyornis subalaris
Amblyospiza albifrons
Amblyramphus holosericeus
Ambystoma maculatum
Amedegnatiana vicheti
Ameerega berohoka
Ameerega braccata
Ameerega flavopicta
Ameerega hahneli
Ameerega macero
Ameerega munduruku
Ameerega petersi
Ameerega picta
Ameerega pulchripecta
Ameerega trivittata
Amegilla asserta
Amegilla calva
Amegilla garrula
Ameiurus melas
Amietia delalandii
Amietia fuscigula
Amietia poyntoni
Amietia tenuoplicata
Amietia wittei
Amirafra angolensis
Amirafra collaris
Amirafra rufocinnamomea
Ammodramus aurifrons
Ammodramus humeralis
Ammodramus savannarum
Ammomanes cinctura
Ammomanes deserti
Ammomanes phoenicura
Ammomanopsis grayi
Ammonastes pelzelni
Ammoperdix griseogularis
Ammoperdix heyi
Ammospermophilus harrisii
Ammospermophilus interpres
Ammospiza caudacuta
Ammospiza leconteii
Ammospiza maritima
Ammospiza nelsoni
Ammotragus lervia
Amolops torrentis
Ampeliceps coronatus
Ampelioides tschudii
Ampelion rubrocristatus
Ampelion rufaxilla
Ampelornis griseiceps
Amphiestris baetica
Amphipsalta cingulata
Amphipsalta strepitans
Amphipsalta zelandica
Amphispiza bilineata
Amphispizopsis quinquestriata
Amphitornus coloradus
Amphylaeus obscuriceps
Ampulex compressa
Amytornis ballarae
Amytornis barbatus
Amytornis dorotheae
Amytornis goyderi
Amytornis housei
Amytornis merrotsyi
Amytornis modestus
Amytornis oweni
Amytornis purnelli
Amytornis rowleyi
Amytornis striatus
Amytornis textilis
Amytornis whitei
Amytornis woodwardi
Anabacerthia amaurotis
Anabacerthia lichtensteini
Anabacerthia ruficaudata
Anabacerthia striaticollis
Anabacerthia variegaticeps
Anabathmis hartlaubii
Anabathmis newtonii
Anabathmis reichenbachii
Anabazenops dorsalis
Anabazenops fuscus
Anabrus cerciata
Anabrus simplex
Anadolua burri
Anadolua schwarzi
Anadrymadusa brevipennis
Anadrymadusa ornatipennis
Anadrymadusa retowskii
Anadrymadusa spinicercis
Anairetes alpinus
Anairetes fernandezianus
Anairetes flavirostris
Anairetes nigrocristatus
Anairetes parulus
Anairetes reguloides
Anaplectes rubriceps
Anapsaltoda pulchra
Anarhynchus alexandrinus
Anarhynchus alticola
Anarhynchus asiaticus
Anarhynchus atrifrons
Anarhynchus bicinctus
Anarhynchus collaris
Anarhynchus dealbatus
Anarhynchus falklandicus
Anarhynchus frontalis
Anarhynchus javanicus
Anarhynchus leschenaultii
Anarhynchus marginatus
Anarhynchus mongolus
Anarhynchus montanus
Anarhynchus nivosus
Anarhynchus obscurus
Anarhynchus pallidus
Anarhynchus pecuarius
Anarhynchus peronii
Anarhynchus ruficapillus
Anarhynchus sanctaehelenae
Anarhynchus thoracicus
Anarhynchus veredus
Anarhynchus wilsonia
Anartia amathea
Anas acuta
Anas albogularis
Anas andium
Anas bahamensis
Anas bernieri
Anas capensis
Anas castanea
Anas chlorotis
Anas crecca
Anas diazi
Anas eatoni
Anas erythrorhyncha
Anas flavirostris
Anas fulvigula
Anas georgica
Anas gibberifrons
Anas gracilis
Anas laysanensis
Anas luzonica
Anas melleri
Anas nesiotis
Anas platyrhynchos
Anas poecilorhyncha
Anas rubripes
Anas sparsa
Anas superciliosa
Anas undulata
Anas wyvilliana
Anas zonorhyncha
Anasaitis canosus
Anastomus lamelligerus
Anastomus oscitans
Anaxipha calusa
Anaxipha exigua
Anaxipha fultoni
Anaxipha hyalicetra
Anaxipha rosamacula
Anaxipha thomasi
Anaxipha tinnulacita
Anaxipha tinnulenta
Anaxipha vernalis
Anaxyrus americanus
Anaxyrus boreas
Anaxyrus californicus
Anaxyrus canorus
Anaxyrus cognatus
Anaxyrus debilis
Anaxyrus fowleri
Anaxyrus hemiophrys
Anaxyrus nelsoni
Anaxyrus punctatus
Anaxyrus quercicus
Anaxyrus retiformis
Anaxyrus speciosus
Anaxyrus terrestris
Anaxyrus woodhousii
Ancistrops strigilatus
Ancistrura nigrovittata
Andigena cucullata
Andigena hypoglauca
Andigena laminirostris
Andigena nigrirostris
Andinobates bombetes
Andinobates cassidyhornae
Andinobates opisthomelas
Andinobates victimatus
Andreiniimon nuptialis
Androdon aequatorialis
Andropadus importunus
Androphobus viridis
Anele ulia
Anelytra cornuta
Anelytra curvata
Anelytra elongata
Anelytra fastigata
Anelytra furcata
Anelytra petria
Anelytra robusta
Anelytra rufa
Anelytra symfioma
Anelytra tristellata
Angaracris barabensis
Anguis colchica
Angusta fangtingyui
Anhima cornuta
Anhinga anhinga
Anhinga melanogaster
Anhinga novaehollandiae
Anhinga rufa
Anhydrophryne hewitti
Anhydrophryne ngongoniensis
Anhydrophryne rattrayi
Animal
Anisognathus igniventris
Anisognathus lacrymosus
Anisognathus melanogenys
Anisognathus notabilis
Anisognathus somptuosus
Anodorhynchus hyacinthinus
Anodorhynchus leari
Anoedopoda lamellata
Anolis sagrei
Anomaloglossus baeobatrachus
Anomaloglossus stepheni
Anomaloglossus surinamensis
Anomalospiza imberbis
Anonconotus alpinus
Anonconotus baracunensis
Anonconotus ghilianii
Anonconotus italoaustriacus
Anonconotus ligustinus
Anonconotus mercantouri
Anonconotus occidentalis
Anopetia gounellei
Anoplognathus brunnipennis
Anoplophora chinensis
Anoplotrupes stercorosus
Anorrhinus austeni
Anorrhinus galeritus
Anorrhinus tickelli
Anous ceruleus
Anous minutus
Anous stolidus
Anous tenuirostris
Anser albifrons
Anser anser
Anser brachyrhynchus
Anser caerulescens
Anser canagicus
Anser cygnoides
Anser erythropus
Anser fabalis
Anser indicus
Anser rossii
Anser serrirostris
Anseranas semipalmata
Ansonia hanitschi
Ansonia spinulifer
Anstisia alba
Anstisia lutea
Anstisia rosea
Anstisia vitellina
Antaxius bouvieri
Antaxius chopardi
Antaxius difformis
Antaxius florezi
Antaxius hispanicus
Antaxius kraussii
Antaxius pedestris
Antaxius sorrezensis
Antaxius spinibrachius
Antechinus flavipes
Anterastes antecessor
Anterastes serbicus
Anthidium oblongatum
Anthidium punctatum
Anthipes monileger
Anthipes solitaris
Anthobaphes violacea
Anthocephala berlepschi
Anthocephala floriceps
Anthochaera carunculata
Anthochaera chrysoptera
Anthochaera lunulata
Anthochaera paradoxa
Anthochaera phrygia
Anthophora abrupta
Anthophora bimaculata
Anthophora plumipes
Anthophora ursina
Anthornis melanura
Anthoscopus caroli
Anthoscopus flavifrons
Anthoscopus minutus
Anthoscopus musculus
Anthoscopus parvulus
Anthoscopus punctifrons
Anthracoceros albirostris
Anthracoceros coronatus
Anthracoceros malayanus
Anthracoceros marchei
Anthracoceros montani
Anthracothorax dominicus
Anthracothorax mango
Anthracothorax nigricollis
Anthracothorax prevostii
Anthracothorax veraguensis
Anthracothorax viridigula
Anthracothorax viridis
Anthrenus coloratus
Anthreptes anchietae
Anthreptes aurantius
Anthreptes gabonicus
Anthreptes griseigularis
Anthreptes longuemarei
Anthreptes malacensis
Anthreptes neglectus
Anthreptes orientalis
Anthreptes rectirostris
Anthreptes reichenowi
Anthreptes rhodolaemus
Anthreptes rubritorques
Anthreptes seimundi
Anthreptes simplex
Anthreptes tephrolaemus
Anthropoides paradiseus
Anthropoides virgo
Anthus antarcticus
Anthus australis
Anthus berthelotii
Anthus bogotensis
Anthus brachyurus
Anthus brevirostris
Anthus caffer
Anthus campestris
Anthus cervinus
Anthus chacoensis
Anthus chii
Anthus cinnamomeus
Anthus correndera
Anthus crenatus
Anthus furcatus
Anthus godlewskii
Anthus gustavi
Anthus gutturalis
Anthus hellmayri
Anthus hodgsoni
Anthus hoeschi
Anthus leucophrys
Anthus lineiventris
Anthus melindae
Anthus nattereri
Anthus nicholsoni
Anthus nilghiriensis
Anthus novaeseelandiae
Anthus nyassae
Anthus pallidiventris
Anthus peruvianus
Anthus petrosus
Anthus pratensis
Anthus richardi
Anthus roseatus
Anthus rubescens
Anthus rufulus
Anthus similis
Anthus sokokensis
Anthus spinoletta
Anthus spragueii
Anthus sylvanus
Anthus trivialis
Anthus vaalensis
Antigone antigone
Antigone canadensis
Antigone rubicunda
Antigone vipio
Antilocapra americana
Antilope cervicapra
Antipodectes bituberculatus
Antiurus maculicaudus
Antrostomus arizonae
Antrostomus badius
Antrostomus carolinensis
Antrostomus cubanensis
Antrostomus ekmani
Antrostomus noctitherus
Antrostomus ridgwayi
Antrostomus rufus
Antrostomus salvini
Antrostomus saturatus
Antrostomus sericocaudatus
Antrostomus vociferus
Anumara forbesi
Anumbius annumbi
Anurogryllus arboreus
Anurogryllus celerinictus
Anurogryllus muticus
Anurolimnas castaneiceps
Aonyx cinereus
Aotus azarae
Apalharpactes mackloti
Apalharpactes reinwardtii
Apalis alticola
Apalis argentea
Apalis binotata
Apalis chapini
Apalis chariessa
Apalis chirindensis
Apalis cinerea
Apalis flavida
Apalis flavigularis
Apalis fuscigularis
Apalis goslingi
Apalis jacksoni
Apalis karamojae
Apalis lynesi
Apalis melanocephala
Apalis nigriceps
Apalis personata
Apalis porphyrolaema
Apalis ruddi
Apalis rufogularis
Apalis sharpii
Apalis thoracica
Apaloderma aequatoriale
Apaloderma narina
Apaloderma vittatum
Apalopteron familiare
Apartus michalki
Aphanotriccus audax
Aphanotriccus capitalis
Aphelocephala leucopsis
Aphelocephala nigricincta
Aphelocephala pectoralis
Aphelocoma californica
Aphelocoma coerulescens
Aphelocoma insularis
Aphelocoma ultramarina
Aphelocoma unicolor
Aphelocoma wollweberi
Aphelocoma woodhouseii
Aphractus acuminatus
Aphrastura spinicauda
Aphrodroma brevirostris
Apis cerana
Apis mellifera
Aplastodiscus albosignatus
Aplastodiscus arildae
Aplastodiscus cavicola
Aplastodiscus cochranae
Aplastodiscus ehrhardti
Aplastodiscus eugenioi
Aplastodiscus leucopygius
Aplastodiscus lutzorum
Aplastodiscus perviridis
Aplodinotus grunniens
Aplonis atrifusca
Aplonis brunneicapillus
Aplonis cantoroides
Aplonis cinerascens
Aplonis crassa
Aplonis dichroa
Aplonis feadensis
Aplonis grandis
Aplonis insularis
Aplonis magna
Aplonis metallica
Aplonis minor
Aplonis mysolensis
Aplonis opaca
Aplonis panayensis
Aplonis striata
Aplonis tabuensis
Aplonis zelandica
Aplopelia larvata
Apodemus sylvaticus
Applause
Aprositornis disjuncta
Aprosmictus erythropterus
Aprosmictus jonquillaceus
Aptenodytes forsteri
Aptenodytes patagonicus
Apteryx australis
Apteryx mantelli
Apteryx maxima
Apteryx owenii
Apteryx rowi
Apus acuticauda
Apus affinis
Apus alexandri
Apus apus
Apus balstoni
Apus barbatus
Apus batesi
Apus berliozi
Apus bradfieldi
Apus caffer
Apus cooki
Apus horus
Apus leuconyx
Apus niansae
Apus nipalensis
Apus pacificus
Apus pallidus
Apus salimalii
Apus unicolor
Aquarana catesbeiana
Aquarana clamitans
Aquarana grylio
Aquarana septentrionalis
Aquila adalberti
Aquila africana
Aquila audax
Aquila chrysaetos
Aquila fasciata
Aquila gurneyi
Aquila heliaca
Aquila nipalensis
Aquila rapax
Aquila spilogaster
Aquila verreauxii
Ara ambiguus
Ara ararauna
Ara chloropterus
Ara macao
Ara militaris
Ara rubrogenys
Ara severus
Arachnothera affinis
Arachnothera chrysogenys
Arachnothera clarae
Arachnothera crassirostris
Arachnothera dilutior
Arachnothera everetti
Arachnothera flammifera
Arachnothera flavigaster
Arachnothera juliae
Arachnothera longirostra
Arachnothera magna
Arachnothera modesta
Arachnothera robusta
Aramides albiventris
Aramides axillaris
Aramides cajaneus
Aramides calopterus
Aramides mangle
Aramides saracura
Aramides wolfi
Aramides ypecaha
Aramidopsis plateni
Aramus guarauna
Araneus diadematus
Aratinga auricapillus
Aratinga jandaya
Aratinga maculata
Aratinga nenday
Aratinga solstitialis
Aratinga weddellii
Arborophila ardens
Arborophila atrogularis
Arborophila brunneopectus
Arborophila cambodiana
Arborophila campbelli
Arborophila crudigularis
Arborophila davidi
Arborophila gingica
Arborophila hyperythra
Arborophila javanica
Arborophila mandellii
Arborophila rufipectus
Arborophila rufogularis
Arborophila torqueola
Arcanator orostruthus
Archboldia papuensis
Archilochus alexandri
Archilochus colubris
Arcovomer passarellii
Arctia matronula
Arctictis binturong
Arctocephalus australis
Arctocephalus gazella
Arctocephalus pusillus
Arctogalidia trivirgata
Arcyptera albogeniculata
Arcyptera fusca
Arcyptera kheili
Arcyptera microptera
Arcyptera tornosi
Ardea alba
Ardea cinerea
Ardea cocoi
Ardea coromanda
Ardea goliath
Ardea herodias
Ardea ibis
Ardea intermedia
Ardea melanocephala
Ardea pacifica
Ardea purpurea
Ardea sumatrana
Ardenna bulleri
Ardenna carneipes
Ardenna creatopus
Ardenna gravis
Ardenna grisea
Ardenna pacifica
Ardenna tenuirostris
Ardeola bacchus
Ardeola grayii
Ardeola ralloides
Ardeola rufiventris
Ardeola speciosa
Ardeotis arabs
Ardeotis australis
Ardeotis kori
Arenaria interpres
Arenaria melanocephala
Arenopsaltria fullo
Arenopsaltria nubivena
Argusianus argus
Argya affinis
Argya altirostris
Argya aylmeri
Argya caudata
Argya cinereifrons
Argya earlei
Argya fulva
Argya gularis
Argya huttoni
Argya longirostris
Argya malcolmi
Argya rubiginosa
Argya rufescens
Argya squamiceps
Argya striata
Argya subrufa
Arhopalus ferus
Ariagona margaritae
Arilus cristatus
Arion ater
Arizelocichla chlorigula
Arizelocichla fusciceps
Arizelocichla kikuyuensis
Arizelocichla masukuensis
Arizelocichla milanjensis
Arizelocichla montana
Arizelocichla neumanni
Arizelocichla nigriceps
Arizelocichla striifacies
Arizelocichla tephrolaema
Arizelopsar femoralis
Armadillagraecia yerilla
Arnobia ocellata
Aromia bungii
Aromia moschata
Arphia pseudonietana
Arremon abeillei
Arremon assimilis
Arremon atricapillus
Arremon aurantiirostris
Arremon basilicus
Arremon brunneinucha
Arremon castaneiceps
Arremon costaricensis
Arremon crassirostris
Arremon dorbignii
Arremon flavirostris
Arremon franciscanus
Arremon perijanus
Arremon phaeopleurus
Arremon phygas
Arremon schlegeli
Arremon semitorquatus
Arremon taciturnus
Arremon torquatus
Arremon virenticeps
Arremonops chloronotus
Arremonops conirostris
Arremonops rufivirgatus
Arremonops tocuyensis
Arses insularis
Arses kaupi
Arses lorealis
Arses telescopthalmus
Artamella viridis
Artamus cinereus
Artamus cyanopterus
Artamus fuscus
Artamus insignis
Artamus leucorynchus
Artamus maximus
Artamus mentalis
Artamus minor
Artamus monachus
Artamus personatus
Artamus superciliosus
Artemisiospiza belli
Artemisiospiza nevadensis
Arthroleptella atermina
Arthroleptella bicolor
Arthroleptella draconella
Arthroleptella drewesii
Arthroleptella kogelbergensis
Arthroleptella landdrosia
Arthroleptella lightfooti
Arthroleptella rugosa
Arthroleptella subvoce
Arthroleptella villiersi
Arthroleptis stenodactylus
Arthroleptis wahlbergii
Arthroleptis xenochirus
Arthroleptis xenodactyloides
Artisornis metopias
Artisornis moreaui
Artomyias fuliginosa
Artomyias ussheri
Arundinax aedon
Arundinicola leucocephala
Arunta interclusa
Arunta perulata
Arvicola amphibius
Asarcornis scutulata
Ascaphus truei
Asemospiza fuliginosa
Asemospiza obscura
Asio capensis
Asio clamator
Asio flammeus
Asio grammicus
Asio madagascariensis
Asio otus
Asio solomonensis
Asio stygius
Asiophlugis longiuncus
Asiophlugis philippina
Asiophlugis rete
Asiophlugis temasek
Asiophlugis thaumasia
Asiophlugis trusmadi
Aspatha gularis
Assa darlingtoni
Asthenes anthoides
Asthenes ayacuchensis
Asthenes baeri
Asthenes berlepschi
Asthenes coryi
Asthenes dorbignyi
Asthenes flammulata
Asthenes fuliginosa
Asthenes griseomurina
Asthenes harterti
Asthenes helleri
Asthenes heterura
Asthenes hudsoni
Asthenes humilis
Asthenes luizae
Asthenes maculicauda
Asthenes modesta
Asthenes moreirae
Asthenes ottonis
Asthenes palpebralis
Asthenes perijana
Asthenes pudibunda
Asthenes pyrrholeuca
Asthenes urubambensis
Asthenes vilcabambae
Asthenes virgata
Asthenes wyatti
Astrapia mayeri
Astrapia nigra
Astrapia rothschildi
Astrapia splendidissima
Astrapia stephaniae
Astur atricapillus
Astur bicolor
Astur chilensis
Astur cooperii
Astur gentilis
Astur gundlachi
Astur henstii
Astur melanoleucus
Astur meyerianus
Atalotriccus pilaris
Atelerix frontalis
Ateles belzebuth
Ateles chamek
Ateles fusciceps
Ateles geoffroyi
Ateles marginatus
Ateles paniscus
Ateloplus coconino
Ateloplus schwarzi
Ateloplus splendidus
Atelopus bomolochos
Atelopus flavescens
Atelopus franciscus
Atelopus ignescens
Atelopus spumarius
Atelornis crossleyi
Atelornis pittoides
Athene blewitti
Athene brama
Athene cunicularia
Athene granti
Athene jacquinoti
Athene malaitae
Athene noctua
Athene roseoaxillaris
Athene superciliaris
Atimastillas flavicollis
Atimastillas flavigula
Atlanticus gibbosus
Atlanticus glaber
Atlanticus interval
Atlanticus monticola
Atlanticus testaceus
Atlantoxerus getulus
